Package, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
make-native, 212180, 1.16, 16, 1, 445, 38, 34195413, 1990147, 10600, 1391, 4096, 1003520, 8192, 0.16079, 0.016925, 64792, 8539, 0, 0, 168, 92, 64, 4.455125, 0.386493, 62092, 169424, 44, 8, 1792, 683, 2899
makedevs-native, 764087, 0.17, 13, 1, 11, 1, 1984278, 103155, 566, 180, 0, 73728, 0, 0.135479, 0.016420999999999998, 70096, 8608, 0, 0, 48, 6, 87, 0.11910799999999999, 0.015767, 67388, 6859, 0, 0, 96, 22, 56
python3-markupsafe-native, 950788, 3.19, 14, 1, 120, 7, 8019070, 5871748, 1869, 743, 49152, 6127616, 135168, 0.141785, 0.017723, 71092, 9025, 0, 0, 72, 62, 109, 1.205284, 0.075337, 68360, 18528, 0, 96, 11896, 102, 719
texinfo-dummy-native, 11748, 0.03, 4, 1, 0, 0, 290195, 22015, 57, 82, 0, 20480, 0, 0.042931, 0.017172, 58896, 7618, 0, 0, 40, 2, 5, 0.0, 0.001318, 56204, 374, 0, 0, 0, 1, 0
cargo-native, 2754832, 462.30, 39, 3, 88695, 2137, 3859460955, 1053039862, 873524, 451774, 590807040, 1058258944, 333930496, 0.39910199999999996, 0.039042, 74052, 9790, 1095, 11712, 2128, 2186, 72, 886.957727, 21.372314, 2549884, 7822401, 9237, 1142208, 2064784, 80082, 271985
gmp-native, 120139, 4.97, 27, 3, 3538, 631, 486251627, 15099660, 229695, 37255, 8192, 15581184, 2547712, 0.274713, 0.036358999999999995, 63652, 8905, 0, 0, 2472, 1171, 157, 35.386983, 6.310216, 64692, 5671128, 222, 16, 27960, 59658, 40120
ldconfig-native, 763565, 0.39, 10, 0, 22, 7, 5197072, 354134, 1541, 272, 49152, 389120, 0, 0.107024, 0.0039629999999999995, 68668, 7904, 0, 0, 40, 3, 86, 0.22711199999999998, 0.071394, 65960, 26787, 0, 96, 720, 57, 268
libssh2-native, 626202, 1.79, 12, 1, 1369, 180, 195275474, 6625975, 67527, 8216, 1609728, 3866624, 106496, 0.126666, 0.016888, 68016, 8913, 0, 8, 568, 170, 20, 13.695427, 1.806741, 65324, 1321376, 105, 3136, 6984, 12508, 9977
libical-native, 1110133, 8.54, 23, 1, 3390, 337, 428445256, 32553388, 77177, 11472, 5550080, 24678400, 6078464, 0.238205, 0.019056, 72224, 7163, 0, 0, 1312, 197, 36, 33.901421, 3.379587, 72700, 1261122, 106, 10840, 46888, 4682, 13977
libtool-native, 63518, 1.71, 6, 0, 238, 30, 49715527, 8165771, 37250, 5325, 0, 7061504, 2412544, 0.066496, 0.004749, 62256, 7921, 0, 0, 152, 69, 3, 2.389577, 0.307483, 59564, 502605, 6, 0, 13640, 10669, 395
fontconfig-native, 865141, 12.55, 19, 0, 1144, 161, 256032888, 4573322, 95221, 10699, 1110016, 2596864, 131072, 0.19749999999999998, 0.008777, 70960, 7052, 0, 0, 792, 254, 44, 11.44462, 1.615886, 68260, 1235492, 106, 2168, 4280, 15865, 8776
curl-native, 647924, 2.85, 16, 1, 1974, 305, 320662330, 7656381, 100663, 12279, 7073792, 5152768, 688128, 0.166849, 0.011375999999999999, 68848, 8693, 0, 0, 1360, 380, 72, 19.749754, 3.055565, 171996, 2023904, 47, 13816, 8704, 19203, 15844
virglrenderer-native, 3951747, 3.01, 10, 1, 863, 82, 100360579, 5429245, 19130, 2572, 2478080, 2801664, 417792, 0.101045, 0.012629999999999999, 60012, 8911, 0, 0, 280, 55, 5, 8.638455, 0.820325, 120828, 353241, 20, 4840, 5192, 1382, 1760
util-macros-native, 307981, 0.06, 15, 1, 0, 0, 558530, 41790, 111, 134, 0, 36864, 0, 0.151883, 0.019472, 65620, 8421, 0, 0, 72, 3, 2, 0.001196, 0.0024389999999999998, 62932, 556, 0, 0, 0, 3, 1
docbook-xml-dtd4-native, 979552, 0.05, 15, 2, 0, 0, 505692, 31680, 1879, 118, 0, 20480, 0, 0.15190499999999998, 0.02223, 69916, 8173, 0, 0, 40, 24, 320, 0.0035269999999999998, 0.0, 67212, 364, 0, 0, 0, 1, 24
quilt-native, 10232, 0.12, 4, 2, 18, 2, 3829965, 331816, 6379, 1485, 0, 368640, 0, 0.04466, 0.0203, 59200, 7790, 0, 0, 72, 27, 2, 0.18106699999999998, 0.026154999999999998, 56508, 55307, 6, 0, 648, 850, 70
libfontenc-native, 990317, 0.65, 13, 1, 48, 4, 3963528, 306727, 2054, 534, 77824, 180224, 8192, 0.13801, 0.015771999999999998, 71352, 8893, 0, 0, 136, 40, 72, 0.489512, 0.041992999999999996, 68640, 39168, 0, 152, 216, 409, 413
libxau-native, 987508, 0.31, 16, 2, 55, 15, 8477889, 269759, 4801, 817, 81920, 262144, 32768, 0.169919, 0.024274, 70544, 8519, 0, 0, 176, 34, 15, 0.550987, 0.152841, 67844, 97723, 5, 160, 336, 980, 412
createrepo-c-native, 1373675, 3.30, 17, 0, 1389, 192, 333880184, 28339084, 49324, 9093, 1507328, 12939264, 3768320, 0.172322, 0.008205, 71496, 8788, 0, 0, 464, 72, 79, 13.894413, 1.9203459999999999, 74996, 813691, 5, 2944, 24808, 4630, 10158
autoconf-native, 55873, 0.12, 7, 1, 48, 7, 17715464, 2201055, 9763, 1727, 778240, 1318912, 126976, 0.075988, 0.015196999999999999, 63424, 8521, 0, 0, 152, 66, 4, 0.48471, 0.076213, 60728, 85132, 32, 1520, 2424, 1331, 129
pkgconfig-native, 168603, 2.35, 19, 4, 1591, 163, 128341985, 12129060, 47566, 8674, 0, 7712768, 471040, 0.199226, 0.041505, 64108, 8449, 0, 0, 696, 222, 17, 15.911904, 1.639597, 61416, 1034944, 24, 0, 14368, 11089, 12376
