Package, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
alsa-ucm-conf, 1365925, 3.13, 18, 6, 221, 23, 4427694, 992376, 8551, 531, 0, 540672, 0, 0.185831, 0.065815, 61168, 19483, 0, 0, 504, 274, 686, 2.216508, 0.235416, 359352, 67628, 0, 0, 552, 7250, 2240
encodings, 1363664, 1.88, 19, 4, 201, 21, 6802129, 2179913, 2727, 547, 466944, 1454080, 0, 0.19450199999999998, 0.049659999999999996, 61848, 20306, 0, 0, 456, 345, 322, 2.017526, 0.21256, 409276, 112813, 4, 912, 2384, 2945, 1159
alsa-topology-conf, 1365162, 1.52, 21, 3, 126, 10, 3276849, 373902, 1912, 419, 0, 282624, 0, 0.21634799999999998, 0.031467999999999996, 61168, 19901, 0, 0, 440, 256, 365, 1.262258, 0.103737, 118228, 42477, 2, 0, 112, 973, 734
netbase, 1371683, 1.84, 25, 3, 143, 15, 1360052, 404990, 1704, 458, 0, 294912, 0, 0.25136, 0.035907999999999995, 61152, 22541, 0, 0, 440, 179, 292, 1.430028, 0.152604, 218556, 83104, 0, 0, 136, 1091, 778
pulseaudio-client-conf-sato, 1369342, 1.64, 19, 5, 142, 13, 1226332, 393614, 1776, 457, 4096, 278528, 0, 0.19633499999999998, 0.053545999999999996, 61172, 22653, 0, 8, 440, 260, 288, 1.424002, 0.130537, 227216, 78542, 0, 0, 104, 803, 791
run-postinsts, 1368207, 1.49, 19, 3, 148, 9, 1255635, 397100, 1860, 477, 69632, 282624, 0, 0.200091, 0.034797999999999996, 61464, 19558, 0, 136, 440, 264, 373, 1.489889, 0.096967, 203156, 77515, 0, 0, 112, 1184, 716
tzdata, 1374078, 8.23, 28, 6, 995, 101, 13277345, 2808726, 27994, 1383, 0, 1310720, 0, 0.282128, 0.06661299999999999, 61508, 22217, 0, 0, 624, 313, 824, 9.959273, 1.013401, 857784, 364755, 2, 0, 1936, 32262, 7096
xcursor-transparent-theme, 1369005, 1.65, 26, 3, 156, 16, 1463296, 503341, 2462, 487, 0, 319488, 0, 0.26240199999999997, 0.034526, 61332, 22821, 0, 0, 472, 201, 453, 1.5618910000000001, 0.161455, 182036, 77693, 0, 0, 152, 1929, 865
shutdown-desktop, 1368396, 1.61, 19, 5, 150, 13, 1221864, 390795, 1770, 461, 0, 278528, 0, 0.19780399999999998, 0.055901, 61756, 20270, 0, 0, 440, 252, 312, 1.503709, 0.13731, 194556, 78692, 0, 0, 104, 916, 906
packagegroup-core-ssh-dropbear, 2721491, 1.41, 22, 6, 78, 18, 1231611, 400294, 1591, 432, 2158592, 294912, 0, 0.224124, 0.060032999999999996, 67888, 22921, 0, 2200, 456, 532, 201, 0.78508, 0.180693, 227052, 95460, 14, 2016, 120, 1102, 463
ca-certificates, 3048132, 3.80, 19, 5, 215, 16, 2967573, 924434, 3304, 560, 2404352, 589824, 0, 0.200021, 0.059579999999999994, 56444, 22771, 7, 3840, 480, 315, 405, 2.157562, 0.165794, 343012, 118726, 0, 856, 672, 2238, 1215
cantarell-fonts, 2752351, 1.68, 23, 2, 144, 16, 2826463, 722905, 1985, 495, 1957888, 507904, 0, 0.233624, 0.024168, 68476, 21184, 0, 1800, 472, 474, 339, 1.444563, 0.160609, 217848, 77883, 1, 2024, 520, 1221, 769
packagegroup-core-x11-base, 3898614, 2.32, 38, 3, 62, 15, 1254050, 401188, 1836, 433, 1409024, 290816, 0, 0.38047899999999996, 0.032381, 61472, 23053, 1, 1952, 448, 427, 324, 0.6266229999999999, 0.157394, 247836, 95568, 0, 800, 120, 717, 566
update-rc.d, 1372294, 2.11, 25, 3, 148, 11, 1268790, 394155, 1843, 460, 4096, 286720, 0, 0.252779, 0.038889, 61688, 22785, 0, 0, 440, 290, 287, 1.48018, 0.117935, 203068, 77504, 1, 8, 120, 809, 974
liberation-fonts, 3066285, 11.71, 22, 7, 289, 13, 35604603, 5263810, 2903, 671, 5582848, 3596288, 0, 0.222214, 0.079997, 57096, 22402, 3, 1400, 448, 461, 298, 2.892625, 0.130458, 118072, 45265, 8, 9504, 6576, 7370, 1340
adwaita-icon-theme, 3863302, 11.26, 49, 4, 772, 46, 212595804, 4027939, 15590, 1065, 16384, 2359296, 0, 0.49711, 0.044821, 61812, 24456, 0, 32, 600, 216, 749, 7.7249, 0.466153, 421280, 176517, 0, 0, 4008, 12497, 3368
wayland-protocols, 1364380, 2.09, 22, 4, 163, 8, 4921853, 644076, 2605, 449, 0, 438272, 0, 0.22236599999999998, 0.049414, 61644, 20426, 0, 0, 456, 222, 457, 1.633575, 0.08011299999999999, 278388, 43099, 4, 0, 400, 1617, 974
hicolor-icon-theme, 1366910, 1.98, 21, 7, 124, 14, 1918758, 508176, 4239, 468, 0, 339968, 0, 0.21700899999999998, 0.072336, 61424, 20263, 0, 0, 488, 252, 1098, 1.244607, 0.141984, 261188, 79378, 0, 0, 176, 2416, 1805
wireless-regdb, 1370968, 2.12, 22, 3, 218, 10, 1317981, 393090, 1990, 471, 0, 286720, 0, 0.223186, 0.033063999999999996, 61312, 22472, 0, 0, 440, 324, 366, 2.187318, 0.104943, 186552, 59750, 2, 0, 120, 1275, 1017
