Package, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
alsa-ucm-conf, 1366156, 1.48, 17, 11, 2, 1, 1673120, 194369, 7213, 236, 0, 151552, 0, 0.173765, 0.11729099999999999, 61248, 14014, 0, 0, 256, 1140, 4899, 0.029886, 0.016315, 59108, 6382, 0, 0, 40, 112, 82
encodings, 1363764, 0.73, 17, 3, 2, 1, 1355277, 203412, 1535, 253, 12288, 155648, 0, 0.17290899999999998, 0.030258999999999998, 61820, 13916, 0, 24, 264, 119, 916, 0.029054999999999997, 0.018168, 59616, 6428, 0, 0, 40, 83, 88
alsa-topology-conf, 1365198, 0.72, 15, 3, 3, 1, 896117, 195115, 776, 236, 0, 151552, 0, 0.156849, 0.037148, 61132, 13585, 0, 0, 256, 83, 381, 0.036792, 0.010123, 58928, 6336, 0, 0, 40, 128, 128
netbase, 1371730, 0.55, 17, 3, 3, 1, 571173, 197008, 802, 246, 122880, 151552, 0, 0.170647, 0.036566999999999995, 61312, 13682, 0, 240, 256, 83, 364, 0.032393, 0.013058, 59092, 6353, 0, 0, 40, 113, 96
pulseaudio-client-conf-sato, 1369811, 0.59, 15, 2, 4, 0, 541355, 199827, 732, 247, 0, 151552, 0, 0.15254299999999998, 0.022881, 61388, 13762, 0, 0, 256, 80, 300, 0.041296, 0.002484, 59176, 6404, 0, 0, 40, 101, 76
run-postinsts, 1373498, 0.91, 19, 1, 3, 0, 561494, 199125, 772, 248, 0, 151552, 0, 0.19702, 0.016083, 61720, 13760, 0, 0, 256, 64, 338, 0.037986, 0.0052699999999999995, 59516, 6399, 0, 0, 40, 104, 109
tzdata, 1374126, 5.47, 51, 41, 2, 2, 4882525, 203173, 27951, 264, 0, 151552, 0, 0.5149009999999999, 0.412808, 62036, 15748, 0, 0, 256, 15959, 12401, 0.020869, 0.024564, 59828, 6346, 0, 0, 40, 157, 50
xcursor-transparent-theme, 1369043, 0.98, 17, 5, 2, 2, 670749, 204813, 1896, 251, 0, 155648, 0, 0.172289, 0.051685999999999996, 62056, 14154, 0, 0, 264, 146, 1411, 0.023167999999999998, 0.021315999999999998, 59852, 6407, 2, 0, 40, 86, 171
shutdown-desktop, 1368412, 0.76, 15, 3, 2, 1, 548930, 198528, 791, 252, 0, 151552, 0, 0.155164, 0.036749, 61988, 14409, 0, 0, 256, 123, 371, 0.028634, 0.018545, 59768, 6564, 0, 0, 40, 99, 114
packagegroup-core-ssh-dropbear, 3138239, 1.23, 17, 5, 4, 0, 536899, 198600, 799, 244, 233472, 159744, 0, 0.17782599999999998, 0.059274999999999994, 56812, 14854, 1, 448, 264, 171, 302, 0.046959999999999995, 0.00598, 54508, 6504, 0, 8, 48, 195, 103
