Package, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
gstreamer1.0, 3241883, 0.32, 16, 2, 0, 0, 386375, 42018, 477, 132, 8192, 32768, 0, 0.160743, 0.025571999999999998, 54636, 10534, 0, 8, 56, 32, 336, 0.007821999999999999, 0.0035529999999999997, 52552, 1467, 0, 8, 8, 9, 53
libgpg-error, 1621524, 0.12, 11, 2, 1, 0, 1138416, 695361, 704, 200, 4096, 704512, 36864, 0.116279, 0.025436, 63764, 10336, 0, 0, 64, 482, 40, 0.014145, 0.008503, 61680, 2697, 0, 8, 1312, 227, 36
lua, 2234744, 0.10, 12, 1, 1, 1, 943464, 574270, 966, 167, 614400, 651264, 0, 0.12120099999999999, 0.019548, 66460, 8391, 0, 0, 104, 48, 242, 0.014287999999999999, 0.012336999999999999, 64384, 2024, 0, 1200, 1168, 550, 121
bzip2, 1574768, 0.44, 13, 2, 3, 3, 6412681, 5667008, 2122, 465, 5967872, 6012928, 4096, 0.136797, 0.026476, 62860, 10216, 0, 0, 72, 90, 256, 0.038932, 0.037912999999999995, 60784, 8532, 0, 11656, 11672, 581, 592
libexif, 2036505, 0.43, 14, 3, 6, 2, 1625866, 973458, 1891, 538, 196608, 1069056, 167936, 0.140233, 0.033995, 65616, 10922, 0, 8, 104, 162, 204, 0.062224999999999996, 0.021858, 63540, 8755, 1, 376, 1984, 320, 700
glib-networking, 3355561, 0.61, 14, 2, 0, 0, 397106, 40896, 494, 128, 4096, 32768, 0, 0.141037, 0.026444, 57988, 11256, 0, 0, 56, 23, 325, 0.008945, 0.00467, 55904, 1713, 0, 8, 8, 12, 46
bluez5, 3403987, 0.35, 11, 1, 1, 2, 19046683, 17739283, 1063, 388, 40960, 17846272, 3162112, 0.11631899999999999, 0.019386, 58324, 8630, 7, 64, 72, 82, 263, 0.017162999999999998, 0.024100999999999997, 56228, 2244, 1, 16, 34784, 101, 285
libgcrypt, 1882756, 0.70, 14, 3, 17, 6, 49525728, 47572603, 1913, 773, 1363968, 47599616, 0, 0.14351999999999998, 0.031031, 65664, 8314, 0, 0, 64, 76, 305, 0.17888199999999999, 0.064539, 63580, 10436, 0, 2664, 92904, 126, 434
bc, 2500589, 0.26, 13, 1, 1, 1, 465080, 52138, 682, 196, 73728, 114688, 0, 0.136912, 0.019558, 66692, 11100, 0, 0, 72, 151, 234, 0.012145, 0.011793999999999999, 64616, 2151, 0, 144, 152, 66, 197
e2fsprogs, 2665974, 2.93, 18, 2, 15, 39, 12876860, 12523482, 26953, 4345, 12644352, 17969152, 3928064, 0.18900899999999998, 0.025200999999999998, 67256, 11857, 0, 0, 2272, 401, 356, 0.156615, 0.399833, 65180, 5247, 0, 24696, 32824, 3075, 20270
coreutils, 2364881, 1.71, 16, 0, 13, 28, 77513929, 72115313, 19754, 7682, 3948544, 74711040, 2179072, 0.16680999999999999, 0.007943, 66684, 11150, 0, 0, 168, 101, 322, 0.130746, 0.286748, 64596, 9511, 0, 7712, 145752, 2695, 7289
pango, 3769867, 0.26, 15, 1, 1, 0, 400762, 48695, 557, 182, 8192, 28672, 0, 0.15495, 0.012232, 59084, 11415, 0, 8, 48, 74, 332, 0.015061, 0.0, 56996, 1690, 0, 8, 8, 43, 46
mdadm, 2692447, 1.74, 14, 1, 4, 6, 1439559, 938025, 4230, 825, 679936, 1843200, 675840, 0.148388, 0.016041, 67420, 11199, 0, 0, 280, 127, 276, 0.043033999999999996, 0.063918, 65344, 4454, 0, 1328, 3320, 2531, 627
