Package, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
libxext-native, 458261, 0.20, 20, 2, 1, 1, 760075, 170694, 772, 377, 0, 122880, 0, 0.209723, 0.027186, 66620, 18882, 0, 0, 200, 85, 69, 0.016146, 0.011448, 63752, 4677, 0, 0, 40, 75, 111
rsync-native, 14154, 0.08, 10, 1, 1, 0, 734931, 156431, 492, 297, 0, 118784, 0, 0.106971, 0.012341999999999999, 60064, 18375, 0, 0, 192, 32, 3, 0.014019, 0.0027719999999999997, 57264, 4681, 0, 0, 40, 151, 7
libdrm-native, 705254, 0.46, 23, 3, 1, 1, 773860, 165717, 504, 335, 0, 118784, 0, 0.23929999999999998, 0.030386999999999997, 70860, 19334, 0, 0, 192, 48, 85, 0.017232, 0.017433, 68060, 4694, 0, 0, 40, 77, 61
pigz-native, 705869, 0.52, 20, 4, 3, 0, 759085, 148530, 468, 289, 0, 114688, 0, 0.20121599999999998, 0.048291, 70304, 18884, 0, 0, 184, 37, 41, 0.030292, 0.007332, 67504, 4635, 0, 0, 40, 94, 34
libxml-parser-perl-native, 68772, 0.08, 11, 0, 1, 0, 752452, 160833, 486, 296, 0, 118784, 0, 0.115144, 0.008529, 63344, 18884, 0, 0, 192, 31, 6, 0.012428999999999999, 0.00417, 60544, 4700, 0, 0, 40, 171, 4
elfutils-native, 32822, 0.06, 8, 3, 1, 0, 761065, 160076, 493, 303, 0, 118784, 0, 0.087181, 0.031702, 62524, 18683, 0, 0, 192, 31, 1, 0.011809, 0.00418, 59724, 4693, 0, 0, 40, 136, 9
llvm-native, 2717529, 0.43, 22, 1, 2, 1, 760045, 155170, 492, 323, 548864, 114688, 0, 0.227817, 0.019639, 73940, 17422, 0, 112, 184, 57, 67, 0.020128999999999998, 0.015345999999999999, 71140, 4611, 5, 960, 40, 112, 61
cwautomacros-native, 691149, 0.45, 19, 2, 2, 0, 741372, 164430, 5169, 368, 0, 114688, 0, 0.19571, 0.029148, 69468, 18783, 0, 0, 184, 65, 256, 0.023554, 0.009176, 66668, 4647, 0, 0, 40, 117, 115
python3-build-native, 26767, 0.08, 10, 2, 1, 0, 729347, 160747, 489, 299, 0, 118784, 0, 0.106809, 0.02054, 61632, 18688, 0, 0, 192, 29, 11, 0.014306999999999999, 0.003907, 58832, 4701, 1, 0, 40, 142, 28
libpng-native, 324852, 0.52, 19, 1, 2, 0, 756658, 157348, 469, 295, 0, 118784, 0, 0.194379, 0.016541999999999998, 66376, 18900, 0, 0, 192, 33, 98, 0.027284, 0.003058, 63548, 4687, 0, 0, 40, 89, 57
xz-native, 25917, 0.07, 9, 1, 1, 0, 756350, 156799, 497, 301, 0, 118784, 0, 0.098378, 0.011351, 61536, 18584, 0, 0, 192, 31, 4, 0.013807999999999999, 0.002087, 58728, 4673, 0, 0, 40, 148, 3
shaderc-native, 664999, 0.09, 16, 1, 1, 1, 751126, 155355, 476, 295, 0, 118784, 0, 0.16844199999999998, 0.011751, 68808, 18902, 0, 0, 192, 29, 45, 0.013339, 0.011848, 66004, 4714, 0, 0, 40, 130, 22
python3-installer-native, 21477, 0.08, 10, 1, 1, 0, 725621, 162673, 491, 305, 0, 118784, 0, 0.10371699999999999, 0.016593999999999998, 61040, 18621, 0, 0, 192, 30, 5, 0.016156999999999998, 0.002405, 58240, 4715, 0, 0, 40, 140, 12
gpgme-native, 703229, 0.09, 13, 2, 2, 0, 782905, 166959, 491, 305, 0, 118784, 0, 0.137573, 0.027514, 69924, 19042, 0, 0, 192, 29, 10, 0.024145999999999997, 0.003568, 67080, 4708, 1, 0, 40, 134, 15
fribidi-native, 578416, 0.22, 19, 3, 2, 0, 762781, 168749, 565, 351, 0, 118784, 0, 0.190186, 0.031049999999999998, 68052, 18936, 0, 0, 192, 67, 197, 0.020457, 0.008886999999999999, 65248, 4700, 0, 0, 40, 112, 76
libmpc-native, 13904, 0.08, 10, 1, 1, 0, 733779, 157712, 492, 301, 0, 118784, 0, 0.10535, 0.016207, 60044, 18412, 0, 0, 192, 34, 129, 0.01508, 0.002574, 57240, 4700, 0, 0, 40, 148, 8
libxml-sax-base-perl-native, 681882, 0.36, 14, 2, 1, 1, 1153906, 161368, 547, 296, 0, 118784, 0, 0.146481, 0.023128, 69272, 18962, 0, 0, 192, 30, 75, 0.013009, 0.014313999999999999, 66472, 4702, 0, 0, 40, 145, 21
