Package, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
libassuan-native, 694707, 0.12, 16, 3, 2, 1, 1257423, 500329, 640, 294, 0, 212992, 0, 0.165233, 0.035407, 70600, 21012, 0, 0, 312, 37, 36, 0.025144, 0.010737, 67460, 5240, 0, 0, 104, 101, 34
kmod-native, 686728, 0.34, 22, 1, 2, 1, 1316348, 505522, 671, 302, 0, 212992, 0, 0.22716799999999998, 0.019251, 70924, 21382, 0, 0, 312, 53, 168, 0.026965, 0.015952, 67780, 5197, 0, 0, 104, 95, 104
libcap-native, 633737, 0.07, 10, 1, 1, 0, 1183369, 494820, 607, 291, 0, 208896, 0, 0.100384, 0.019303999999999998, 69332, 20916, 0, 0, 304, 38, 1, 0.018814, 0.0028049999999999998, 66432, 5126, 0, 0, 104, 173, 6
libcap-ng-native, 49798, 0.08, 10, 1, 1, 0, 1210732, 493070, 628, 285, 0, 208896, 0, 0.10611, 0.01179, 64276, 20750, 0, 0, 304, 39, 1, 0.019393, 0.000503, 61360, 5214, 1, 0, 104, 169, 8
libyaml-native, 696923, 0.10, 16, 4, 1, 1, 1224386, 491721, 596, 283, 0, 208896, 0, 0.16083699999999998, 0.040208999999999995, 70556, 21029, 0, 0, 304, 36, 7, 0.018414, 0.011333, 67416, 5224, 0, 0, 104, 137, 12
freetype-native, 532831, 0.09, 10, 2, 1, 0, 1245424, 495886, 631, 286, 0, 212992, 0, 0.102254, 0.023597, 68568, 21263, 0, 0, 312, 35, 7, 0.015995, 0.0068579999999999995, 65432, 5225, 0, 0, 104, 161, 10
tzcode-native, 697445, 0.13, 11, 3, 1, 1, 967593, 486117, 579, 275, 0, 208896, 0, 0.11672199999999999, 0.032681999999999996, 70056, 20332, 0, 0, 304, 36, 11, 0.016482, 0.017041999999999998, 66460, 5096, 0, 0, 104, 157, 24
icon-naming-utils-native, 700347, 0.14, 18, 4, 2, 1, 1250976, 497644, 617, 286, 0, 212992, 0, 0.18720599999999998, 0.048836, 71988, 21135, 0, 0, 312, 31, 5, 0.025907, 0.010251, 68368, 5244, 0, 0, 104, 105, 31
libcomps-native, 700502, 0.12, 19, 4, 2, 1, 1263451, 501121, 631, 296, 0, 212992, 0, 0.197175, 0.044263, 71948, 21601, 0, 0, 312, 36, 12, 0.020374, 0.014116, 68344, 5258, 0, 0, 104, 154, 22
libxfixes-native, 575597, 0.26, 20, 3, 3, 0, 1265895, 496866, 661, 287, 0, 212992, 0, 0.209384, 0.034262, 69560, 20831, 0, 0, 312, 61, 78, 0.032487, 0.007442, 66660, 5218, 1, 0, 104, 88, 89
util-linux-libuuid-native, 182497, 0.29, 20, 3, 2, 1, 1239135, 530590, 655, 329, 0, 225280, 0, 0.209832, 0.032914, 65856, 20910, 0, 0, 336, 58, 75, 0.024406999999999998, 0.013776, 62956, 5214, 0, 0, 104, 79, 91
