Package, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
xserver-xorg, 3562548, 0.91, 16, 4, 4, 2, 1303303, 594110, 1211, 398, 4096, 516096, 0, 0.169181, 0.043379, 61224, 21850, 0, 0, 264, 57, 71, 0.048062, 0.022838999999999998, 58440, 7130, 0, 8, 744, 147, 93
libyaml, 2074414, 0.52, 14, 4, 4, 1, 799960, 284975, 852, 315, 0, 208896, 0, 0.146748, 0.048916, 72480, 20975, 0, 0, 232, 48, 100, 0.044576, 0.018246, 69672, 6917, 0, 0, 176, 112, 302
xinput, 2614010, 0.96, 16, 5, 4, 1, 762221, 231416, 879, 311, 0, 204800, 0, 0.167603, 0.05157, 74040, 23690, 0, 0, 240, 74, 65, 0.047935, 0.013902, 71240, 6910, 2, 0, 160, 118, 113
gnome-desktop-testing, 2727211, 5.81, 16, 2, 3, 2, 773452, 236217, 855, 310, 0, 200704, 0, 0.166481, 0.029134, 74152, 21164, 0, 0, 232, 50, 39, 0.032799, 0.020361, 71348, 6920, 0, 0, 160, 213, 38
startup-notification, 2194137, 0.90, 18, 2, 5, 0, 819248, 296332, 879, 318, 0, 204800, 0, 0.188016, 0.028610999999999998, 72944, 23103, 0, 0, 224, 62, 73, 0.054988999999999996, 0.00397, 70144, 6913, 0, 0, 176, 124, 84
libevdev, 2290460, 0.33, 15, 3, 2, 2, 775262, 246694, 841, 313, 0, 212992, 0, 0.150673, 0.03172, 72708, 21017, 0, 0, 232, 42, 67, 0.027254999999999998, 0.029043, 69904, 6927, 0, 0, 184, 103, 69
json-glib, 3032264, 1.29, 21, 3, 5, 4, 1844457, 1286783, 1845, 560, 0, 843776, 0, 0.21251299999999998, 0.039846, 62308, 24516, 0, 0, 496, 94, 130, 0.056787, 0.042430999999999996, 59468, 7275, 0, 0, 1152, 145, 244
gstreamer1.0-plugins-good, 3878485, 1.40, 25, 4, 4, 6, 2656048, 1768207, 2916, 751, 0, 1695744, 0, 0.25590399999999996, 0.043306, 62508, 24522, 0, 0, 576, 74, 74, 0.049776999999999995, 0.065013, 59572, 7718, 1, 0, 2736, 200, 219
xkbcomp, 2612669, 1.05, 20, 2, 4, 1, 780445, 245482, 856, 313, 0, 204800, 0, 0.201732, 0.020583999999999998, 73904, 23809, 0, 0, 232, 54, 81, 0.047092999999999996, 0.012358, 71104, 6918, 0, 0, 168, 127, 92
librsvg, 3896488, 1.08, 27, 7, 3, 2, 989700, 710322, 985, 1242, 143360, 274432, 0, 0.279738, 0.076292, 63884, 26891, 0, 272, 312, 79, 438, 0.03686, 0.027873, 61004, 6992, 0, 8, 224, 112, 122
