Package, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
libdnf, 3723351, 6.04, 26, 0, 82, 24, 16600228, 4125566, 10948, 3025, 6680576, 4128768, 614400, 0.268765, 0.008144, 59504, 9737, 0, 24, 168, 63, 69, 0.82222, 0.24448199999999998, 56588, 95664, 41, 13024, 7896, 2280, 2226
libtool, 1447237, 79.89, 33, 3, 734, 111, 175117154, 27219830, 80345, 25853, 5165056, 26636288, 16449536, 0.33980099999999996, 0.036735, 70504, 18404, 0, 4224, 376, 446, 65, 7.343267, 1.115879, 67652, 901429, 38, 5864, 51648, 12964, 10336
openssh, 2016189, 95.66, 46, 5, 1983, 589, 460740957, 26468799, 205353, 44722, 1523712, 30572544, 20123648, 0.461522, 0.058821, 72232, 21054, 0, 680, 472, 843, 243, 19.833497, 5.895366, 69332, 2768689, 84, 2296, 59240, 17981, 19388
dbus, 2658445, 117.16, 34, 7, 1537, 226, 265986662, 35953617, 130082, 37174, 1781760, 34062336, 21315584, 0.347093, 0.07564799999999999, 74380, 20617, 0, 936, 480, 681, 151, 15.376909, 2.265993, 71492, 1606432, 25, 2544, 66048, 18561, 15538
libmatchbox, 2777282, 69.18, 29, 4, 507, 71, 114783108, 16316460, 51583, 17481, 2936832, 15683584, 9084928, 0.291667, 0.049242, 74140, 18693, 0, 672, 344, 271, 178, 5.077402, 0.714144, 71304, 552350, 12, 5064, 30288, 6592, 5869
nettle, 1853363, 17.15, 25, 4, 302, 80, 47821880, 4318410, 30934, 10319, 733184, 4460544, 2445312, 0.251945, 0.048621, 71800, 17286, 0, 176, 352, 232, 44, 3.027642, 0.809838, 68912, 434277, 13, 1256, 8360, 5091, 4570
speexdsp, 1881710, 30.70, 29, 4, 683, 115, 139905305, 19544858, 63883, 17599, 1171456, 18112512, 10235904, 0.29495899999999997, 0.042747, 71520, 18446, 0, 392, 320, 281, 109, 6.838393, 1.1573229999999999, 68752, 680018, 21, 1896, 35056, 8343, 6454
acl, 1606880, 35.31, 19, 3, 473, 78, 120183755, 21178131, 51512, 17392, 1187840, 19263488, 10969088, 0.197761, 0.039552, 71180, 16786, 0, 1232, 328, 233, 71, 4.7356739999999995, 0.783354, 68264, 517029, 19, 1088, 37296, 7113, 4895
btrfs-tools, 2870897, 29.96, 26, 4, 283, 59, 41066197, 4543892, 24061, 9971, 1269760, 4313088, 1822720, 0.265027, 0.044170999999999995, 73772, 18193, 0, 168, 352, 223, 119, 2.836647, 0.593563, 71080, 305030, 4, 2312, 8072, 5372, 4981
socat, 2409100, 101.64, 36, 3, 1218, 313, 240962581, 27311223, 108813, 24818, 454656, 27217920, 14094336, 0.36791199999999996, 0.038058999999999996, 71972, 17455, 0, 160, 424, 503, 134, 12.182133, 3.131676, 69060, 1591365, 62, 728, 52736, 10410, 12386
opkg-utils, 1443647, 0.10, 12, 0, 0, 0, 301945, 70649, 88, 122, 12288, 73728, 0, 0.125246, 0.004174, 69788, 6623, 0, 24, 136, 11, 85, 0.001238, 0.003336, 66860, 607, 0, 0, 8, 7, 13
