Package, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
zlib, 1447428, 0.05, 10, 0, 0, 0, 288535, 18602, 41, 51, 0, 20480, 0, 0.102142, 0.0036469999999999996, 69384, 5855, 0, 0, 40, 2, 44, 0.0, 0.0026409999999999997, 66656, 365, 0, 0, 0, 1, 1
libusb1, 2733469, 0.13, 5, 1, 13, 1, 3344254, 284613, 1543, 378, 20480, 122880, 0, 0.058141, 0.010901, 73556, 6357, 0, 0, 80, 7, 6, 0.131215, 0.018071, 70864, 23010, 0, 40, 160, 217, 16
json-c, 1469883, 0.15, 12, 2, 0, 0, 297466, 30844, 1948, 124, 0, 20480, 0, 0.12232699999999999, 0.021089999999999998, 70156, 8102, 0, 0, 40, 27, 66, 0.002587, 0.0, 67428, 360, 0, 0, 0, 1, 27
gdbm, 1591757, 2.05, 7, 0, 273, 53, 48375162, 3378691, 23704, 4212, 389120, 1740800, 122880, 0.070996, 0.004176, 70552, 6198, 0, 0, 480, 65, 2, 2.731407, 0.535434, 67860, 368941, 27, 760, 2920, 3917, 1201
diffutils, 2297998, 0.05, 11, 2, 0, 0, 328271, 37045, 3686, 131, 0, 24576, 0, 0.115365, 0.027846, 71828, 5999, 0, 0, 48, 27, 25, 0.0, 0.003034, 69108, 365, 0, 0, 0, 1, 27
util-linux, 2368111, 3.79, 19, 1, 2246, 276, 237704055, 30582129, 91495, 17191, 217088, 10977280, 0, 0.193081, 0.018928999999999998, 72308, 6722, 0, 0, 2192, 222, 62, 22.464341, 2.760482, 69616, 1314957, 39, 424, 19248, 15476, 14938
gnutls, 3150265, 3.65, 13, 1, 4, 0, 1895913, 43577, 577, 187, 1306624, 28672, 0, 0.136848, 0.017657, 57928, 8504, 6, 864, 56, 71, 77, 0.048212, 0.0032679999999999996, 54764, 3427, 0, 1688, 0, 34, 38
attr, 1567996, 0.05, 10, 1, 0, 0, 327867, 35972, 2870, 130, 0, 28672, 0, 0.10285899999999999, 0.011868, 70196, 6101, 0, 0, 56, 27, 13, 0.003123, 0.0, 67472, 363, 0, 0, 0, 1, 31
libnl, 1972939, 4.71, 13, 1, 141, 17, 18494491, 2466891, 6415, 1068, 77824, 1126400, 245760, 0.136132, 0.012374999999999999, 71140, 8395, 0, 0, 128, 18, 66, 1.414018, 0.173696, 68408, 103328, 7, 152, 2072, 1147, 1085
bash, 2308881, 3.60, 13, 1, 349, 21, 44715660, 8666580, 10754, 3786, 16384, 5373952, 5185536, 0.13680299999999998, 0.019542999999999998, 71720, 8194, 0, 0, 80, 75, 136, 3.490336, 0.21851199999999998, 83240, 78823, 3, 32, 10416, 612, 1106
python3, 2673727, 0.14, 14, 2, 0, 0, 449713, 37427, 4810, 131, 0, 28672, 0, 0.148942, 0.024822999999999998, 73836, 6566, 0, 0, 56, 27, 40, 0.0, 0.003029, 71116, 365, 0, 0, 0, 1, 26
strace, 3508033, 81.09, 94, 18, 13412, 3952, 3299489386, 260336972, 72610102, 215942, 7634944, 133083136, 757760, 0.9436469999999999, 0.18412599999999998, 64888, 11416, 3, 88, 21520, 3685, 129, 134.120144, 39.522042, 113096, 8927961, 354, 14824, 238408, 67889, 93030
