Package, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
fribidi, 305593, 0.03, 8, 1, 0, 0, 497528, 122321, 201, 86, 0, 126976, 4096, 0.087618, 0.015238, 63400, 11794, 0, 0, 120, 5, 7, 0.005131, 0.001633, 57684, 950, 0, 0, 128, 13, 5
matchbox-panel-2, 559089, 0.07, 6, 1, 2, 0, 1294222, 642064, 846, 262, 0, 671744, 4096, 0.06854, 0.016127, 65468, 12914, 0, 0, 128, 13, 32, 0.029696, 0.006447, 59808, 9357, 0, 0, 1184, 142, 7
vte, 576662, 0.26, 11, 3, 4, 1, 973369, 201832, 754, 165, 0, 225280, 4096, 0.112956, 0.030121, 65836, 12039, 0, 0, 128, 18, 114, 0.044291, 0.010273, 59816, 9431, 0, 0, 312, 146, 79
mobile-broadband-provider-info, 365302, 0.11, 10, 2, 0, 0, 1010017, 633417, 315, 203, 0, 651264, 4096, 0.10342599999999999, 0.022161999999999998, 64048, 8698, 0, 0, 128, 6, 40, 0.007843, 0.005816, 58360, 974, 0, 0, 1144, 14, 11
openssl, 228542, 0.18, 8, 3, 12, 3, 2745031, 1182824, 2681, 560, 0, 1208320, 4096, 0.08111299999999999, 0.034762999999999995, 62816, 12942, 0, 0, 152, 25, 7, 0.123694, 0.031652, 57128, 38334, 3, 0, 2208, 615, 54
gtk-doc, 534522, 0.15, 6, 1, 10, 1, 2308769, 204604, 2631, 311, 192512, 237568, 4096, 0.066902, 0.014867, 65200, 11816, 0, 0, 136, 40, 7, 0.108598, 0.014861999999999998, 59476, 37702, 10, 376, 328, 645, 27
udev-extraconf, 678849, 0.05, 6, 1, 0, 0, 938609, 649939, 303, 225, 0, 655360, 4096, 0.06901399999999999, 0.015335999999999999, 66712, 9815, 0, 0, 136, 6, 7, 0.007776, 0.002742, 61120, 962, 0, 0, 1144, 11, 4
psplash, 677727, 0.04, 8, 1, 1, 0, 1049337, 653287, 327, 226, 0, 651264, 4096, 0.08726099999999999, 0.011899, 67072, 10733, 0, 0, 128, 6, 6, 0.010619, 0.000623, 61332, 968, 0, 0, 1144, 11, 1
gnupg, 673785, 0.17, 8, 2, 11, 1, 3131801, 804518, 2741, 437, 0, 827392, 4096, 0.088973, 0.020221, 67128, 13735, 0, 0, 136, 25, 7, 0.117794, 0.017131999999999998, 61500, 38039, 0, 0, 1480, 598, 33
xset, 681316, 0.09, 5, 3, 3, 0, 817639, 127382, 684, 132, 0, 151552, 4096, 0.060003999999999995, 0.037502, 67276, 11728, 0, 0, 128, 13, 4, 0.0356, 0.006411, 61676, 9396, 0, 0, 168, 140, 14
libxtst, 321330, 0.04, 9, 2, 0, 0, 583175, 118710, 201, 79, 0, 126976, 4096, 0.092652, 0.023163, 63836, 8679, 0, 0, 120, 6, 4, 0.008565999999999999, 0.0005679999999999999, 58140, 941, 0, 0, 128, 13, 2
tcp-wrappers, 528409, 0.73, 7, 3, 75, 9, 11525806, 1766400, 17975, 2106, 0, 1761280, 4096, 0.079179, 0.037506, 65024, 26786, 0, 0, 216, 129, 19, 0.754713, 0.09254699999999999, 58832, 287103, 3, 0, 3224, 4740, 193
base-passwd, 264848, 0.34, 10, 2, 26, 2, 2653110, 167484, 4307, 418, 0, 184320, 4096, 0.109774, 0.029273, 63204, 13264, 0, 0, 144, 37, 14, 0.26415299999999997, 0.029199, 57500, 66394, 3, 0, 216, 1051, 213
