Package, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
libnsl2-native, 733053, 0.39, 17, 3, 3, 0, 1049057, 233817, 572, 268, 32768, 139264, 0, 0.178153, 0.030983, 70968, 18287, 1, 64, 224, 37, 73, 0.036383, 0.0058649999999999996, 67884, 5046, 1, 0, 48, 81, 45
zstd-native, 753529, 0.17, 16, 3, 2, 1, 968287, 216590, 579, 262, 28672, 139264, 0, 0.16304, 0.036684, 70748, 18426, 2, 56, 224, 41, 177, 0.020399999999999998, 0.017948, 67664, 4886, 0, 0, 48, 96, 119
mkfontscale-native, 766488, 0.19, 15, 3, 1, 2, 848945, 185989, 560, 263, 8192, 131072, 0, 0.157054, 0.037197, 71032, 18588, 1, 16, 224, 37, 22, 0.018823, 0.020572999999999998, 67948, 4986, 0, 0, 32, 111, 64
file-native, 753231, 0.20, 19, 3, 2, 0, 840468, 173430, 578, 261, 4096, 135168, 0, 0.197652, 0.033643, 71012, 18625, 0, 8, 232, 45, 134, 0.028090999999999998, 0.00869, 67948, 4967, 0, 0, 32, 78, 62
qemu-system-native, 934475, 0.66, 11, 2, 3, 1, 920379, 250071, 611, 272, 0, 143360, 0, 0.118603, 0.025414, 70068, 16330, 0, 0, 224, 37, 49, 0.033269, 0.010428999999999999, 66984, 5042, 0, 0, 56, 82, 55
unifdef-native, 720066, 0.33, 16, 3, 2, 1, 879170, 182046, 592, 258, 61440, 139264, 0, 0.163664, 0.038967, 70580, 18365, 1, 120, 232, 54, 186, 0.027344, 0.013056, 67496, 4906, 0, 0, 40, 99, 84
json-c-native, 731707, 0.51, 21, 4, 2, 1, 821139, 169706, 555, 257, 0, 131072, 0, 0.211031, 0.045516, 70976, 18978, 0, 0, 224, 36, 187, 0.028412999999999997, 0.010752, 67888, 4899, 0, 0, 32, 116, 50
libcheck-native, 732064, 0.52, 16, 4, 3, 1, 1050512, 236294, 621, 269, 0, 139264, 0, 0.161824, 0.044133, 70768, 18605, 0, 0, 224, 56, 130, 0.030268, 0.012745999999999999, 67668, 5025, 0, 0, 48, 77, 91
gobject-introspection-native, 732029, 0.48, 18, 3, 3, 1, 1072498, 252631, 672, 290, 36864, 155648, 0, 0.188496, 0.035343, 71168, 19116, 1, 72, 248, 56, 112, 0.033178, 0.012832, 68140, 5059, 1, 0, 56, 116, 72
libxml-namespacesupport-perl-native, 719118, 0.44, 23, 3, 2, 1, 2178654, 224626, 793, 267, 0, 139264, 0, 0.23601899999999998, 0.030952999999999998, 70752, 18601, 0, 0, 224, 43, 416, 0.024818, 0.019679, 67708, 5050, 0, 0, 48, 80, 106
