Package, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
texinfo-dummy-native, 7870, 0.15, 10, 2, 0, 1, 441246, 121289, 363, 210, 0, 106496, 0, 0.103554, 0.023011999999999998, 58292, 14936, 0, 0, 176, 20, 55, 0.009023, 0.010797, 55540, 3996, 0, 0, 32, 71, 56
cargo-native, 44661, 0.05, 9, 1, 1, 0, 729443, 142387, 421, 226, 0, 110592, 0, 0.097332, 0.015573, 63272, 16373, 0, 0, 184, 29, 5, 0.012738999999999999, 0.001022, 60472, 4016, 0, 0, 32, 140, 6
gmp-native, 7881, 0.12, 15, 2, 1, 0, 679052, 128336, 403, 222, 0, 106496, 0, 0.15614799999999998, 0.027326, 59784, 16052, 0, 0, 176, 28, 98, 0.012152, 0.008801, 56984, 4006, 0, 0, 32, 80, 37
ldconfig-native, 696599, 0.08, 9, 2, 1, 0, 481858, 121725, 379, 210, 0, 110592, 0, 0.091615, 0.02915, 69084, 15680, 0, 0, 184, 25, 5, 0.015366999999999999, 0.008603, 66284, 3955, 0, 0, 32, 109, 16
libssh2-native, 49803, 0.06, 8, 2, 1, 0, 709712, 128912, 407, 222, 0, 106496, 0, 0.08072499999999999, 0.023063999999999998, 63568, 16647, 0, 0, 176, 28, 5, 0.012374999999999999, 0.0012259999999999999, 60768, 4008, 0, 0, 32, 142, 3
libical-native, 40747, 0.04, 8, 1, 0, 0, 692377, 128973, 398, 222, 0, 106496, 0, 0.088992, 0.012135, 62864, 16330, 0, 0, 176, 24, 16, 0.008177, 0.0054589999999999994, 60064, 4020, 0, 0, 32, 148, 8
libtool-native, 7875, 0.15, 14, 2, 1, 0, 468795, 127730, 412, 216, 0, 106496, 0, 0.14407, 0.021186, 59088, 15354, 0, 0, 176, 44, 20, 0.012950999999999999, 0.00787, 56288, 3999, 0, 0, 32, 72, 63
fontconfig-native, 62234, 0.06, 8, 2, 1, 0, 705800, 129296, 395, 222, 0, 106496, 0, 0.08146199999999999, 0.022217, 63516, 16736, 0, 0, 176, 23, 5, 0.014008999999999999, 0.0, 60732, 3997, 0, 0, 32, 106, 10
curl-native, 22174, 0.04, 9, 1, 1, 0, 718569, 130836, 412, 226, 0, 106496, 0, 0.09313099999999999, 0.011641, 61312, 16215, 0, 0, 176, 28, 5, 0.010504, 0.0020239999999999998, 58512, 3993, 0, 0, 32, 127, 8
virglrenderer-native, 792928, 0.45, 15, 2, 2, 0, 722712, 132620, 439, 228, 0, 106496, 0, 0.15504199999999999, 0.022688999999999997, 70540, 14434, 0, 0, 176, 53, 118, 0.021595, 0.007937999999999999, 67740, 4037, 0, 0, 32, 68, 75
util-macros-native, 34989, 0.07, 11, 0, 1, 0, 693387, 128903, 396, 221, 0, 106496, 0, 0.11835899999999999, 0.008161999999999999, 62892, 16514, 0, 0, 176, 25, 3, 0.01228, 0.002753, 60092, 4016, 0, 0, 32, 152, 14
docbook-xml-dtd4-native, 36098, 0.06, 8, 1, 1, 0, 678677, 126315, 399, 216, 0, 106496, 0, 0.081852, 0.014882, 62796, 16506, 0, 0, 176, 30, 4, 0.010825999999999999, 0.004097, 59992, 3999, 0, 0, 32, 142, 6
quilt-native, 7868, 0.14, 11, 1, 1, 0, 474654, 127323, 388, 218, 45056, 106496, 0, 0.11867899999999999, 0.019778999999999998, 59156, 15307, 0, 0, 176, 29, 51, 0.016706, 0.00411, 56356, 3993, 1, 88, 32, 81, 71
libfontenc-native, 44715, 0.05, 8, 0, 0, 0, 703090, 129204, 398, 222, 0, 106496, 0, 0.089894, 0.00428, 62848, 16514, 0, 0, 176, 26, 3, 0.00737, 0.00692, 60048, 4006, 0, 0, 32, 126, 13
libxau-native, 43951, 0.05, 8, 0, 1, 0, 702581, 129386, 399, 223, 0, 106496, 0, 0.08845499999999999, 0.008041, 63080, 16622, 0, 0, 176, 25, 9, 0.010683999999999999, 0.002936, 60280, 4006, 0, 0, 32, 152, 12
createrepo-c-native, 696113, 0.40, 15, 1, 1, 1, 706625, 128900, 392, 221, 0, 106496, 0, 0.159694, 0.019473999999999998, 69716, 16702, 0, 0, 176, 25, 12, 0.012007, 0.010143, 66916, 4060, 0, 0, 32, 133, 18
